Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/TC_Online Payment Bulletin/TC_OnlinePaymentBulletin03,Chrome 67.0.3396.99,,2018-07-06 14:25:09,2018-07-06 14:25:30,21.372s,PASSED
Start listener action : BeforeTestCase,Chrome 67.0.3396.99,,2018-07-06 14:25:09,2018-07-06 14:25:14,4.541s,PASSED
common.MasterLogin.Login,Chrome 67.0.3396.99,,2018-07-06 14:25:14,2018-07-06 14:25:17,3.693s,PASSED
common.MenuIntoPage.getDropdownMenu,Chrome 67.0.3396.99,\u5E33\u52D9\u7BA1\u7406 -> \u7DDA\u4E0A\u652F\u4ED8\u770B\u677F,2018-07-06 14:25:17,2018-07-06 14:25:18,0.243s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:25:18,2018-07-06 14:25:18,0.612s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,\u7EBF\u4E0A\u652F\u4ED8\u770B\u677F--\u641C\u5BFB--\u7B49\u5F85\u5F48\u7A97\u51FA\u73FE,2018-07-06 14:25:18,2018-07-06 14:25:18,0.044s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:25:18,2018-07-06 14:25:20,2.002s,PASSED
click,Chrome 67.0.3396.99,\u9EDE\u64CA\u6703\u54E1\u7B49\u7D1A,2018-07-06 14:25:20,2018-07-06 14:25:20,0.143s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:25:20,2018-07-06 14:25:22,2.001s,PASSED
click,Chrome 67.0.3396.99,\u9EDE\u64CA\u6E05\u9664\u6240\u6709\u6703\u54E1\u7B49\u7D1A,2018-07-06 14:25:22,2018-07-06 14:25:23,0.138s,PASSED
click,Chrome 67.0.3396.99,\u9EDE\u64CA\u9078\u64C7abby-use\u6703\u54E1\u7B49\u7D1A,2018-07-06 14:25:23,2018-07-06 14:25:23,0.108s,PASSED
Statement - beforeText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Search_Page/Choose_MembersLevel/checkbox_MmeberLevel(abby-use))),Chrome 67.0.3396.99,\u53D6\u5F97\u6240\u9078\u7684\u6703\u54E1\u7B49\u7D1A\u6587\u5B57,2018-07-06 14:25:23,2018-07-06 14:25:23,0.045s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:25:23,2018-07-06 14:25:25,2.000s,PASSED
click,Chrome 67.0.3396.99,\u95DC\u9589\u9078\u53D6\u6703\u54E1\u7B49\u7D1A,2018-07-06 14:25:25,2018-07-06 14:25:25,0.129s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:25:25,2018-07-06 14:25:27,2.002s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:25:27,2018-07-06 14:25:27,0.129s,PASSED
click,Chrome 67.0.3396.99,,2018-07-06 14:25:27,2018-07-06 14:25:27,0.128s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:25:27,2018-07-06 14:25:29,2.002s,PASSED
extension.UIMethod.clickUsingJS,Chrome 67.0.3396.99,\u9EDE\u64CA\u641C\u5C0B\u7D50\u679CID,2018-07-06 14:25:29,2018-07-06 14:25:29,0.043s,PASSED
