Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC_Online Payment Bulletin,Chrome 67.0.3396.99,,2018-07-06 14:20:58,2018-07-06 14:22:39,1m - 41.379s,ERROR
,,,,,,
Test Cases/TC_Online Payment Bulletin/TC_OnlinePaymentBulletin01,Chrome 67.0.3396.99,,2018-07-06 14:20:58,2018-07-06 14:21:15,16.492s,PASSED
Start listener action : BeforeTestCase,Chrome 67.0.3396.99,,2018-07-06 14:20:58,2018-07-06 14:21:05,6.869s,PASSED
common.MasterLogin.Login,Chrome 67.0.3396.99,,2018-07-06 14:21:05,2018-07-06 14:21:09,3.793s,PASSED
common.MenuIntoPage.getDropdownMenu,Chrome 67.0.3396.99,\u5E33\u52D9\u7BA1\u7406 -> \u7DDA\u4E0A\u652F\u4ED8\u770B\u677F,2018-07-06 14:21:09,2018-07-06 14:21:09,0.265s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-06 14:21:09,2018-07-06 14:21:11,1.500s,PASSED
Statement - beforeText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Index_Page/text_ID)),Chrome 67.0.3396.99,\u53D6\u5F97\u6B32\u67E5\u8A62\u7684\u300C\u8A02\u55AE\u865F\u300D,2018-07-06 14:21:11,2018-07-06 14:21:11,0.051s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:21:11,2018-07-06 14:21:11,0.109s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,\u7EBF\u4E0A\u652F\u4ED8\u770B\u677F--\u641C\u5BFB--\u7B49\u5F85\u5F48\u7A97\u51FA\u73FE,2018-07-06 14:21:11,2018-07-06 14:21:11,0.066s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:21:11,2018-07-06 14:21:13,2.002s,PASSED
setText,Chrome 67.0.3396.99,\u8F38\u5165\u8A02\u55AE\u865F,2018-07-06 14:21:13,2018-07-06 14:21:13,0.207s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:21:13,2018-07-06 14:21:13,0.140s,PASSED
extension.UIMethod.clickUsingJS,Chrome 67.0.3396.99,\u9EDE\u64CA\u641C\u5C0B\u7D50\u679CID,2018-07-06 14:21:13,2018-07-06 14:21:13,0.069s,PASSED
Statement - getPaymentId = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Detail_Page/text_PaymentID)),Chrome 67.0.3396.99,\u53D6\u5F97\u7EBF\u4E0A\u652F\u4ED8\u660E\u7EC6\u300C\u8A02\u55AE\u865F\u300D,2018-07-06 14:21:13,2018-07-06 14:21:14,0.626s,PASSED
"Statement - afterText = CustomKeywords.extension.DataConversion.GetStringSpilt(getPaymentId, ""¡G"", 0)",Chrome 67.0.3396.99,\u8F49\u63DB\u53EA\u53D6\u5192\u865F\u5F8C\u7684\u6587\u5B57,2018-07-06 14:21:14,2018-07-06 14:21:14,0.008s,PASSED
verifyEqual,Chrome 67.0.3396.99,\u6BD4\u8F03\u8A02\u55AE\u865F\u662F\u5426\u76F8\u540C,2018-07-06 14:21:14,2018-07-06 14:21:14,0.007s,PASSED
Start listener action : AfterTestCase,Chrome 67.0.3396.99,,2018-07-06 14:21:14,2018-07-06 14:21:15,0.645s,PASSED
,,,,,,
Test Cases/TC_Online Payment Bulletin/TC_OnlinePaymentBulletin02,Chrome 67.0.3396.99,,2018-07-06 14:21:15,2018-07-06 14:21:28,13.599s,PASSED
Start listener action : BeforeTestCase,Chrome 67.0.3396.99,,2018-07-06 14:21:15,2018-07-06 14:21:19,4.180s,PASSED
common.MasterLogin.Login,Chrome 67.0.3396.99,,2018-07-06 14:21:19,2018-07-06 14:21:23,3.614s,PASSED
common.MenuIntoPage.getDropdownMenu,Chrome 67.0.3396.99,\u5E33\u52D9\u7BA1\u7406 -> \u7DDA\u4E0A\u652F\u4ED8\u770B\u677F,2018-07-06 14:21:23,2018-07-06 14:21:23,0.245s,PASSED
